Continent;Country;Series;Year;Unit;Value
Asia;Afghanistan;"Table grapes production";1995;tonnes;201300
Asia;Afghanistan;"Table grapes production";1996;tonnes;201100
Asia;Afghanistan;"Table grapes production";1997;tonnes;201100
Asia;Afghanistan;"Table grapes production";1998;tonnes;201100
Asia;Afghanistan;"Table grapes production";1999;tonnes;201100
Asia;Afghanistan;"Table grapes production";2000;tonnes;191000
Asia;Afghanistan;"Table grapes production";2001;tonnes;252400
Asia;Afghanistan;"Table grapes production";2002;tonnes;233000
Asia;Afghanistan;"Table grapes production";2003;tonnes;190608
Asia;Afghanistan;"Table grapes production";2004;tonnes;180989
Asia;Afghanistan;"Table grapes production";2005;tonnes;189149
Asia;Afghanistan;"Table grapes production";2006;tonnes;202032
Asia;Afghanistan;"Table grapes production";2007;tonnes;191635
Asia;Afghanistan;"Table grapes production";2008;tonnes;202008
Asia;Afghanistan;"Table grapes production";2009;tonnes;244405
Asia;Afghanistan;"Table grapes production";2010;tonnes;245678
Asia;Afghanistan;"Table grapes production";2011;tonnes;346415
Asia;Afghanistan;"Table grapes production";2012;tonnes;446504
Asia;Afghanistan;"Table grapes production";2013;tonnes;448507
Asia;Afghanistan;"Table grapes production";2014;tonnes;571153
Asia;Afghanistan;"Table grapes production";2015;tonnes;596844
Asia;Afghanistan;"Table grapes production";2016;tonnes;697187
Europe;Albania;"Table grapes production";1995;tonnes;34800
Europe;Albania;"Table grapes production";1996;tonnes;23600
Europe;Albania;"Table grapes production";1997;tonnes;46700
Europe;Albania;"Table grapes production";1998;tonnes;55100
Europe;Albania;"Table grapes production";1999;tonnes;54200
Europe;Albania;"Table grapes production";2000;tonnes;70079
Europe;Albania;"Table grapes production";2001;tonnes;66452
Europe;Albania;"Table grapes production";2002;tonnes;77572
Europe;Albania;"Table grapes production";2003;tonnes;94119
Europe;Albania;"Table grapes production";2004;tonnes;87465
Europe;Albania;"Table grapes production";2005;tonnes;99382
Europe;Albania;"Table grapes production";2006;tonnes;108366
Europe;Albania;"Table grapes production";2007;tonnes;121284
Europe;Albania;"Table grapes production";2008;tonnes;128943
Europe;Albania;"Table grapes production";2009;tonnes;133642
Europe;Albania;"Table grapes production";2010;tonnes;155285
Europe;Albania;"Table grapes production";2011;tonnes;166694
Europe;Albania;"Table grapes production";2012;tonnes;164611
Europe;Albania;"Table grapes production";2013;tonnes;173859
Europe;Albania;"Table grapes production";2014;tonnes;174800
Europe;Albania;"Table grapes production";2015;tonnes;171784
Europe;Albania;"Table grapes production";2016;tonnes;174455
Africa;Algeria;"Table grapes production";1995;tonnes;115000
Africa;Algeria;"Table grapes production";1996;tonnes;137000
Africa;Algeria;"Table grapes production";1997;tonnes;145800
Africa;Algeria;"Table grapes production";1998;tonnes;118300
Africa;Algeria;"Table grapes production";1999;tonnes;134300
Africa;Algeria;"Table grapes production";2000;tonnes;145000
Africa;Algeria;"Table grapes production";2001;tonnes;139461
Africa;Algeria;"Table grapes production";2002;tonnes;164772
Africa;Algeria;"Table grapes production";2003;tonnes;174806
Africa;Algeria;"Table grapes production";2004;tonnes;169654
Africa;Algeria;"Table grapes production";2005;tonnes;209676
Africa;Algeria;"Table grapes production";2006;tonnes;244549
Africa;Algeria;"Table grapes production";2007;tonnes;171978
Africa;Algeria;"Table grapes production";2008;tonnes;298592
Africa;Algeria;"Table grapes production";2009;tonnes;402635
Africa;Algeria;"Table grapes production";2010;tonnes;468282
Africa;Algeria;"Table grapes production";2011;tonnes;310728
Africa;Algeria;"Table grapes production";2012;tonnes;446100
Africa;Algeria;"Table grapes production";2013;tonnes;476000
Africa;Algeria;"Table grapes production";2014;tonnes;424199
Africa;Algeria;"Table grapes production";2015;tonnes;472474
Africa;Algeria;"Table grapes production";2016;tonnes;467936
America;Argentina;"Table grapes production";1995;tonnes;33600
America;Argentina;"Table grapes production";1996;tonnes;33500
America;Argentina;"Table grapes production";1997;tonnes;38800
America;Argentina;"Table grapes production";1998;tonnes;44900
America;Argentina;"Table grapes production";1999;tonnes;52400
America;Argentina;"Table grapes production";2000;tonnes;37636
America;Argentina;"Table grapes production";2001;tonnes;30918
America;Argentina;"Table grapes production";2002;tonnes;41185
America;Argentina;"Table grapes production";2003;tonnes;81354
America;Argentina;"Table grapes production";2004;tonnes;91781
America;Argentina;"Table grapes production";2005;tonnes;103522
America;Argentina;"Table grapes production";2006;tonnes;114204
America;Argentina;"Table grapes production";2007;tonnes;110763
America;Argentina;"Table grapes production";2008;tonnes;113410
America;Argentina;"Table grapes production";2009;tonnes;77643
America;Argentina;"Table grapes production";2010;tonnes;88614
America;Argentina;"Table grapes production";2011;tonnes;90702
America;Argentina;"Table grapes production";2012;tonnes;72190
America;Argentina;"Table grapes production";2013;tonnes;44338
America;Argentina;"Table grapes production";2014;tonnes;37441
America;Argentina;"Table grapes production";2015;tonnes;44524
America;Argentina;"Table grapes production";2016;tonnes;39163
Asia;Armenia;"Table grapes production";1995;tonnes;100000
Asia;Armenia;"Table grapes production";1996;tonnes;83200
Asia;Armenia;"Table grapes production";1997;tonnes;57300
Asia;Armenia;"Table grapes production";1998;tonnes;53800
Asia;Armenia;"Table grapes production";1999;tonnes;46800
Asia;Armenia;"Table grapes production";2000;tonnes;35637
Asia;Armenia;"Table grapes production";2001;tonnes;56873
Asia;Armenia;"Table grapes production";2002;tonnes;53359
Asia;Armenia;"Table grapes production";2003;tonnes;37100
Asia;Armenia;"Table grapes production";2004;tonnes;30000
Asia;Armenia;"Table grapes production";2005;tonnes;80109
Asia;Armenia;"Table grapes production";2006;tonnes;67241
Asia;Armenia;"Table grapes production";2007;tonnes;74323
Asia;Armenia;"Table grapes production";2008;tonnes;47924
Asia;Armenia;"Table grapes production";2009;tonnes;80706
Asia;Armenia;"Table grapes production";2010;tonnes;93578
Asia;Armenia;"Table grapes production";2011;tonnes;100738
Asia;Armenia;"Table grapes production";2012;tonnes;84790
Asia;Armenia;"Table grapes production";2013;tonnes;73353
Asia;Armenia;"Table grapes production";2014;tonnes;104085
Asia;Armenia;"Table grapes production";2015;tonnes;92399
Asia;Armenia;"Table grapes production";2016;tonnes;100000
Oceania;Australia;"Table grapes production";1995;tonnes;39500
Oceania;Australia;"Table grapes production";1996;tonnes;53500
Oceania;Australia;"Table grapes production";1997;tonnes;60700
Oceania;Australia;"Table grapes production";1998;tonnes;62700
Oceania;Australia;"Table grapes production";1999;tonnes;65900
Oceania;Australia;"Table grapes production";2000;tonnes;66800
Oceania;Australia;"Table grapes production";2001;tonnes;64700
Oceania;Australia;"Table grapes production";2002;tonnes;86500
Oceania;Australia;"Table grapes production";2003;tonnes;75100
Oceania;Australia;"Table grapes production";2004;tonnes;68920
Oceania;Australia;"Table grapes production";2005;tonnes;72662
Oceania;Australia;"Table grapes production";2006;tonnes;81727
Oceania;Australia;"Table grapes production";2007;tonnes;78727
Oceania;Australia;"Table grapes production";2008;tonnes;63621
Oceania;Australia;"Table grapes production";2009;tonnes;69000
Oceania;Australia;"Table grapes production";2010;tonnes;65000
Oceania;Australia;"Table grapes production";2011;tonnes;106200
Oceania;Australia;"Table grapes production";2012;tonnes;107700
Oceania;Australia;"Table grapes production";2013;tonnes;120900
Oceania;Australia;"Table grapes production";2014;tonnes;126305
Oceania;Australia;"Table grapes production";2015;tonnes;129647
Oceania;Australia;"Table grapes production";2016;tonnes;140128
Asia;Azerbaijan;"Table grapes production";1995;tonnes;100000
Asia;Azerbaijan;"Table grapes production";1996;tonnes;219400
Asia;Azerbaijan;"Table grapes production";1997;tonnes;53500
Asia;Azerbaijan;"Table grapes production";1998;tonnes;113300
Asia;Azerbaijan;"Table grapes production";1999;tonnes;98800
Asia;Azerbaijan;"Table grapes production";2000;tonnes;62858
Asia;Azerbaijan;"Table grapes production";2001;tonnes;54280
Asia;Azerbaijan;"Table grapes production";2002;tonnes;50910
Asia;Azerbaijan;"Table grapes production";2003;tonnes;56072
Asia;Azerbaijan;"Table grapes production";2004;tonnes;46840
Asia;Azerbaijan;"Table grapes production";2005;tonnes;69650
Asia;Azerbaijan;"Table grapes production";2006;tonnes;82685
Asia;Azerbaijan;"Table grapes production";2007;tonnes;79858
Asia;Azerbaijan;"Table grapes production";2008;tonnes;85815
Asia;Azerbaijan;"Table grapes production";2009;tonnes;94600
Asia;Azerbaijan;"Table grapes production";2010;tonnes;91724
Asia;Azerbaijan;"Table grapes production";2011;tonnes;111103
Asia;Azerbaijan;"Table grapes production";2012;tonnes;127178
Asia;Azerbaijan;"Table grapes production";2013;tonnes;127800
Asia;Azerbaijan;"Table grapes production";2014;tonnes;121300
Asia;Azerbaijan;"Table grapes production";2015;tonnes;128000
Asia;Azerbaijan;"Table grapes production";2016;tonnes;130000
America;"Bolivia, Plurinational State";"Table grapes production";1995;tonnes;10500
America;"Bolivia, Plurinational State";"Table grapes production";1996;tonnes;12700
America;"Bolivia, Plurinational State";"Table grapes production";1997;tonnes;14500
America;"Bolivia, Plurinational State";"Table grapes production";1998;tonnes;12400
America;"Bolivia, Plurinational State";"Table grapes production";1999;tonnes;14500
America;"Bolivia, Plurinational State";"Table grapes production";2000;tonnes;15995
America;"Bolivia, Plurinational State";"Table grapes production";2001;tonnes;20805
America;"Bolivia, Plurinational State";"Table grapes production";2002;tonnes;21720
America;"Bolivia, Plurinational State";"Table grapes production";2003;tonnes;20484
America;"Bolivia, Plurinational State";"Table grapes production";2004;tonnes;17770
America;"Bolivia, Plurinational State";"Table grapes production";2005;tonnes;18739
America;"Bolivia, Plurinational State";"Table grapes production";2006;tonnes;18712
