Continent;Country;Series;Year;Unit;Value
Asia;Afghanistan;"Table grapes consumption";2016;tonnes;585775
Europe;Albania;"Table grapes consumption";2016;tonnes;178616
Africa;Algeria;"Table grapes consumption";2016;tonnes;467930
Africa;Angola;"Table grapes consumption";2016;tonnes;1509
America;"Antigua And Barbuda";"Table grapes consumption";2016;tonnes;124
America;Argentina;"Table grapes consumption";2016;tonnes;9271
Asia;Armenia;"Table grapes consumption";2016;tonnes;83448
Oceania;Australia;"Table grapes consumption";2016;tonnes;72385
Europe;Austria;"Table grapes consumption";2016;tonnes;35082
Asia;Azerbaijan;"Table grapes consumption";2016;tonnes;92110
America;Bahamas;"Table grapes consumption";2016;tonnes;1421
Asia;Bangladesh;"Table grapes consumption";2016;tonnes;34950
America;Barbados;"Table grapes consumption";2016;tonnes;1236
Europe;Belarus;"Table grapes consumption";2016;tonnes;777
Europe;"Belgium And Luxembourg";"Table grapes consumption";2016;tonnes;0
Europe;Belgium;"Table grapes consumption";2016;tonnes;41328
America;Belize;"Table grapes consumption";2016;tonnes;106
Africa;Benin;"Table grapes consumption";2016;tonnes;1022
America;"Bolivia, Plurinational State";"Table grapes consumption";2016;tonnes;13964
Europe;"Bosnia And Herzegovina";"Table grapes consumption";2016;tonnes;35915
Africa;Botswana;"Table grapes consumption";2016;tonnes;1051
America;Brazil;"Table grapes consumption";2016;tonnes;714908
Asia;"Brunei Darussalam";"Table grapes consumption";2016;tonnes;573
Europe;Bulgaria;"Table grapes consumption";2016;tonnes;23377
Africa;"Burkina Faso";"Table grapes consumption";2016;tonnes;72
Africa;Burundi;"Table grapes consumption";2016;tonnes;0
Asia;Cambodia;"Table grapes consumption";2016;tonnes;1260
Africa;Cameroon;"Table grapes consumption";2016;tonnes;158
America;Canada;"Table grapes consumption";2016;tonnes;171960
Africa;"Cape Verde";"Table grapes consumption";2016;tonnes;224
Africa;Chad;"Table grapes consumption";2016;tonnes;0
America;Chile;"Table grapes consumption";2016;tonnes;35292
Asia;China;"Table grapes consumption";2016;tonnes;10150000
America;Colombia;"Table grapes consumption";2016;tonnes;37086
Africa;Comoros;"Table grapes consumption";2016;tonnes;0
