Continent,Country,Series,Year,Unit,Value
Asia,China,Table grapes production,2016,tonnes,10100000
Asia,Turkey,Table grapes production,2016,tonnes,1990604
Asia,India,Table grapes production,2016,tonnes,1976487
Africa,Egypt,Table grapes production,2016,tonnes,1582427
Asia,Iran,Table grapes production,2016,tonnes,1574770
Asia,Uzbekistan,Table grapes production,2016,tonnes,1230771
Europe,Italy,Table grapes production,2016,tonnes,1057543
America,United States,Table grapes production,2016,tonnes,943000
America,Chile,Table grapes production,2016,tonnes,712810
Asia,Afghanistan,Table grapes production,2016,tonnes,697187
America,Brazil,Table grapes production,2016,tonnes,641436
America,Peru,Table grapes production,2016,tonnes,545909
Africa,Algeria,Table grapes production,2016,tonnes,467936
Africa,Morocco,Table grapes production,2016,tonnes,297317
Africa,South Africa,Table grapes production,2016,tonnes,283500
Europe,Spain,Table grapes production,2016,tonnes,271600
Europe,Greece,Table grapes production,2016,tonnes,265147
America,Mexico,Table grapes production,2016,tonnes,256420
Asia,Korea,Table grapes production,2016,tonnes,223209
Asia,Syrian Arab Republic,Table grapes production,2016,tonnes,208864
Asia,Turkmenistan,Table grapes production,2016,tonnes,206248
Europe,Republic Of North Macedonia,Table grapes production,2016,tonnes,204493
Europe,Albania,Table grapes production,2016,tonnes,174455
Asia,Tajikistan,Table grapes production,2016,tonnes,151995
Asia,Yemen,Table grapes production,2016,tonnes,143435
Oceania,Australia,Table grapes production,2016,tonnes,140128
Asia,Azerbaijan,Table grapes production,2016,tonnes,130000
Asia,Armenia,Table grapes production,2016,tonnes,100000
Europe,Serbia,Table grapes production,2016,tonnes,99470
Asia,Iraq,Table grapes production,2016,tonnes,89868
Africa,Tunisia,Table grapes production,2016,tonnes,85206
Europe,Moldova,Table grapes production,2016,tonnes,85100
Asia,Taiwan,Table grapes production,2016,tonnes,76094
Asia,Japan,Table grapes production,2016,tonnes,64684
Asia,Lebanon,Table grapes production,2016,tonnes,64216
Asia,Jordan,Table grapes production,2016,tonnes,59023
Europe,Romania,Table grapes production,2016,tonnes,46202
Europe,France,Table grapes production,2016,tonnes,45592
America,Argentina,Table grapes production,2016,tonnes,39163
Europe,Israel,Table grapes production,2016,tonnes,37777
Asia,Kazakhstan,Table grapes production,2016,tonnes,35853
Africa,Libya,Table grapes production,2016,tonnes,31215
Europe,Slovenia,Table grapes production,2016,tonnes,29780
Europe,Bosnia And Herzegovina,Table grapes production,2016,tonnes,28674
Europe,Portugal,Table grapes production,2016,tonnes,22136
Europe,Croatia,Table grapes production,2016,tonnes,21141
Europe,Ukraine,Table grapes production,2016,tonnes,20180
Europe,Montenegro,Table grapes production,2016,tonnes,17420
Europe,Hungary,Table grapes production,2016,tonnes,14174
Europe,Bulgaria,Table grapes production,2016,tonnes,10066
America,Bolivia,Table grapes production,2016,tonnes,8964
Asia,Georgia,Table grapes production,2016,tonnes,8655
Europe,Slovakia,Table grapes production,2016,tonnes,7386
Asia,Cyprus,Table grapes production,2016,tonnes,5000
Africa,Tanzania,Table grapes production,2016,tonnes,4864
America,Uruguay,Table grapes production,2016,tonnes,3464
Asia,Kyrgyzstan,Table grapes production,2016,tonnes,200
Europe,Switzerland,Table grapes production,2016,tonnes,100
Asia,Hong Kong,Table grapes production,2016,tonnes,0
Asia,Macao,Table grapes production,2016,tonnes,0
Asia,Serbia And Montenegro,Table grapes production,2016,tonnes,0
