id,Year,Field,Variety,Kg_He,Area_He,B1_sum,B2_sum,B3_sum,B4_sum,B5_sum,B6_sum,B7_sum,B8_sum,B8A_sum,B9_sum,B10_sum,B11_sum,B12_sum,EVI_sum,GNDVI_sum,NDMI_sum,NDVI_sum,VH_sum,VV_sum,min_Temp,max_Temp,mean_Temp,sum_Temp,median_Temp,stdv_Temp,min_Hum,max_Hum,mean_Hum,sum_Hum,median_Hum,stdv_Hum,min_GGD,max_GGD,mean_GGD,sum_GGD,median_GGD,stdv_GGD,min_Evapo,max_Evapo,mean_Evapo,sum_Evapo,median_Evapo,stdv_Evapo,N.Unit.He,K20.Unit.He,P.Unit.He,CaO.Unit.He,MgO.Unit.He
1,2018,THOMPSON 00,THOMPSON,42209.0201385266,9.6,0.455047369003296,0.701297104358673,0.963464438915253,0.773860514163971,1.24245774745941,2.91550779342651,3.55454444885254,3.5982232093811,3.71735334396362,4.32745599746704,0.077400915324688,1.62321782112122,0.867056429386139,8.70434188842773,4.76655960083008,8.70434188842773,5.31977844238281,-132.839416503906,-80.7743225097656,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
2,2018,THOMPSON 07,THOMPSON,37818.0558368301,3.4,0.223183512687683,0.298550188541412,0.722789108753204,0.51768970489502,1.29392874240875,3.8382670879364,4.66831016540527,4.74686622619629,4.91077136993408,5.63896036148071,0.27975532412529,2.28788089752197,1.34036564826965,13,9.14685440063477,13,9.86005401611328,-131.10400390625,-77.5660781860352,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
3,2018,THOMPSON 08,THOMPSON,47094.339901664,3.4,0.206777229905128,0.306465566158295,0.710161745548248,0.545380830764771,1.28418433666229,3.62633585929871,4.38751649856567,4.44959545135498,4.64719486236572,5.55886745452881,0.393830716609955,2.35728335380554,1.41650807857513,12.7292890548706,8.84657859802246,12.7292890548706,9.44611167907715,-132.31184387207,-82.1510009765625,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
4,2018,THOMPSON 96,THOMPSON,39653.8641769946,9.5,0.214336782693863,0.305088877677917,0.744670987129211,0.520978987216949,1.33652424812317,3.99790143966675,4.86387777328491,4.94000673294067,5.13571691513062,6.00343084335327,1.48585379123688,2.44071316719055,1.41436910629272,13.6275043487549,9.68806648254395,13.6275043487549,10.5127964019775,-131.371963500977,-78.9652481079102,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
5,2018,CRIMSON 99-00,CRIMSON,48920.0149331063,12.2,0.195464685559273,0.245151340961456,0.616572558879852,0.400550872087479,1.14047515392303,3.37659597396851,4.03579235076904,4.08958721160889,4.24177074432373,4.9841685295105,0.389542788267136,1.96048486232758,1.07947444915771,10.2170705795288,7.13840484619141,10.2170705795288,7.85952377319336,-128.613723754883,-74.3028106689453,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,80,160,40,32,80
6,2018,CRIMSON 04,CRIMSON,45584.6351038506,2.4,0.310524791479111,0.32838499546051,0.751369774341583,0.532434105873108,1.38459694385529,3.75052165985107,4.42713928222656,4.50792121887207,4.64998960494995,5.27205228805542,1.23817598819733,2.29246115684509,1.35252523422241,11.603289604187,7.94692039489746,11.603289604187,8.69419097900391,-129.263381958008,-74.0046081542969,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,80,160,30,32,40
7,2018,TIMCO 14 CR,TIMCO,48340.1290910048,4.1,0.342549085617065,0.434657543897629,0.797033667564392,0.757256984710693,1.40319585800171,3.39930891990662,4.06319904327393,4.15751600265503,4.31796836853027,5.16649389266968,1.06530547142029,2.53011846542358,1.67553615570068,12.1103715896606,7.82471799850464,12.1103715896606,7.93106651306152,-137.301742553711,-81.8828964233398,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,78,120,30,0,40
8,2018,INIAGRAPE ONE 14,INIAGRAPEONE,56278.9473684211,1.1,0.295230537652969,0.385209083557129,0.707892656326294,0.71821391582489,1.2913384437561,2.91014695167542,3.49584555625916,3.57748675346375,3.77582979202271,4.69816732406616,0.719153642654419,2.40810418128967,1.61582601070404,11.2195768356323,7.20205354690552,11.2195768356323,7.10525369644165,-135.126678466797,-81.0076217651367,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,140,200,70,48,50
9,2018,SABLE 14,SABLE,36081.6737588652,4.2,0.173759654164314,0.256252855062485,0.590381801128387,0.464872598648071,1.04467213153839,2.87306952476501,3.50317120552063,3.57403087615967,3.72235512733459,4.45465850830078,1.73729193210602,1.94095599651337,1.19189584255219,9.09589004516602,6.10247802734375,9.09589004516602,6.45337677001953,-141.381484985352,-86.7173156738281,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,63,120,40,14.4,40
10,2019,THOMPSON 00,THOMPSON,31973.8020833333,9.6,0.39661493897438,0.590815901756287,0.746329307556152,0.72147810459137,0.996217906475067,1.77326440811157,2.06438875198364,2.12417149543762,2.22287559509277,2.65068531036377,0.711246371269226,1.41758763790131,0.848793148994446,6.57601928710938,2.90304684638977,6.57601928710938,2.95142126083374,-152.157821655273,-91.7793884277344,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,42,60,30,28.8,40
