id,Variety,Field,Year,Week,Area_He,Kg_He
1,THOMPSON,THOMPSON 00,2018,44-52,9.6,42209.0201385266
2,THOMPSON,THOMPSON 07,2018,44-52,3.4,37818.0558368301
3,THOMPSON,THOMPSON 08,2018,44-52,3.4,47094.339901664
4,THOMPSON,THOMPSON 96,2018,44-52,9.5,39653.8641769946
5,CRIMSON,CRIMSON 99-00,2018,44-52,12.2,48920.0149331063
6,CRIMSON,CRIMSON 04,2018,44-52,2.4,45584.6351038506
7,ARRA,ARRA 15 CR,2018,44-52,2.9,45286.1428571429
8,TIMCO,TIMCO 14 CR,2018,44-52,4.1,48340.1290910048
9,INIAGRAPEONE,INIAGRAPE ONE 14,2018,44-52,1.1,56278.9473684211
10,SABLE,SABLE 14,2018,44-52,4.2,36081.6737588652
11,THOMPSON,THOMPSON 00,2019,44-52,9.6,31973.8020833333
12,THOMPSON,THOMPSON 07,2019,44-52,3.4,27008.0882352941
13,THOMPSON,THOMPSON 08,2019,44-52,3.4,30371.9117647059
14,THOMPSON,THOMPSON 96,2019,44-52,9.5,27943.8421052632
15,CRIMSON,CRIMSON 99-00,2019,44-52,12.2,53384.9590163934
16,CRIMSON,CRIMSON 04,2019,44-52,2.4,61283.5416666667
17,ARRA,ARRA 15 CR,2019,44-52,2.9,53118.6206896552
18,TIMCO,TIMCO 14 CR,2019,44-52,4.1,50073.0487804878
19,INIAGRAPEONE,INIAGRAPE ONE 14,2019,44-52,1.1,46748.1818181818
20,INIAGRAPEONE,INIAGRAPE ONE 15,2019,44-52,3,47891.3333333333
21,SABLE,SABLE 14,2019,44-52,4.2,34794.4047619048
22,SABLE,SABLE 16,2019,44-52,1.9,8711.25
23,THOMPSON,THOMPSON 00,2020,44-52,9.6,37807.8645833333
24,THOMPSON,THOMPSON 07,2020,44-52,3.4,38150.5882352941
25,THOMPSON,THOMPSON 08,2020,44-52,3.4,34097.5
26,THOMPSON,THOMPSON 96,2020,44-52,9.5,36522.8947368421
27,CRIMSON,CRIMSON 99-00,2020,44-52,12.2,52419.7592373489
28,CRIMSON,CRIMSON 04,2020,44-52,2.4,52500.7656182423
29,ARRA,ARRA 15 CR,2020,44-52,2.9,44983.3536585366
30,TIMCO,TIMCO 14 CR,2020,44-52,4.1,74931.2195121951
31,INIAGRAPEONE,INIAGRAPE ONE 14,2020,44-52,1.1,24633.1818181818
32,INIAGRAPEONE,INIAGRAPE ONE 15,2020,44-52,3,26804.8333333333
33,SABLE,SABLE 14,2020,44-52,4.2,50314.7256097561
34,SABLE,SABLE 16,2020,44-52,1.9,40519.8267008986
35,THOMPSON,THOMPSON LORETO,2018,44-52,12,42831
36,THOMPSON,THOMPSON LORETO,2019,44-52,12,43428
37,THOMPSON,THOMPSON LORETO,2020,44-52,12,35878
