Time_UTC_Chile,Los_Tilos,San_Antonio_de_Naltahua,San_Pedro_de_Melipilla,Carmen_Rosa
15-01-01,11,9.7,9,19.92
15-01-02,11.3,9.7,7.8,19.23
15-01-03,11.6,8.5,6.8,19.38
15-01-04,12.3,8.8,7.4,18.19
15-01-05,11.6,10,9,18.1
15-01-06,10.5,8.9,9.9,18.56
15-01-07,9.5,9.1,7.9,18.81
15-01-08,12.6,11.7,11.1,22.51
15-01-09,13.8,12.5,11.5,22.49
15-01-10,11.9,9.2,7.8,17.49
15-01-11,12.9,10.3,8.6,20.63
15-01-12,10.5,7.8,6.5,17.36
15-01-13,10.4,8.5,7.6,18.69
15-01-14,11.9,9.9,8.2,18.53
15-01-15,11.2,9.2,8.4,18.18
15-01-16,11.8,8.8,8.6,18.18
15-01-17,9.8,8,7.4,21.11
15-01-18,7.9,7.2,7.9,16.18
15-01-19,9.4,9.1,9.8,18.7
15-01-20,10,9.8,9.1,18.06
15-01-21,10.3,8.4,7.9,18.12
15-01-22,11.4,9.6,8.8,20.28
15-01-23,11.2,8.7,7.1,18.48
15-01-24,11.8,9.2,8.4,19.92
15-01-25,12.3,9.3,8.2,19.94
15-01-26,12.8,12.7,11.7,22.1
15-01-27,12.6,10.9,11.5,21.23
15-01-28,12.1,10.2,8.5,19.5
15-01-29,11.7,8.8,6.8,20.55
15-01-30,11.4,8.4,7.7,19.65
15-01-31,12.2,9.6,7.7,19.19
15-02-01,12.2,9.2,7.1,20.24
15-02-02,12.6,9.1,6.9,20.05
15-02-03,11.5,8.4,7.8,19.93
15-02-04,11.5,8.3,8.2,19.93
15-02-05,10.2,6.7,6.1,16.87
15-02-06,11.8,8.9,6.8,20.25
15-02-07,11,8.4,6.6,18.11
15-02-08,11.2,10.2,10,20.62
15-02-09,7.3,7.5,8.3,19.25
15-02-10,11.2,10.2,9.8,20.28
15-02-11,13,11.6,9.5,21.15
15-02-12,13.9,13.3,13.1,22.49
15-02-13,14.4,12.6,11.3,22.63
15-02-14,11.2,7.6,5.1,18.9
15-02-15,10.7,7.7,6.1,17.54
15-02-16,10.8,8.6,7.7,19.6
15-02-17,11.3,8.7,8.2,18.91
15-02-18,8.8,7.7,7.7,17.51
15-02-19,6.9,5.4,4.2,15.23
15-02-20,7.2,7.8,8.1,14.95
15-02-21,8.9,8.4,7.5,19.23
15-02-22,10.4,8.4,6.4,18.61
15-02-23,10.5,7.7,5.8,20.7
15-02-24,6.3,5.8,6.4,15.9
15-02-25,11.3,10.5,10,19.96
15-02-26,8.3,9.2,6.6,18.04
15-02-27,9.2,10.3,8.8,18.33
15-02-28,8.8,8.5,8.1,18.49
15-03-01,10,9.4,9.1,20
15-03-02,9.1,7.6,6.8,16.59
15-03-03,9.6,8.7,7.7,18.37
15-03-04,10.4,8.8,8.4,19.05
15-03-05,10.1,8.8,8.3,19.66
15-03-06,9.2,6.2,3.9,16.33
15-03-07,9.7,9.3,11.2,19.65
15-03-08,11.5,9.8,10.5,18.67
15-03-09,13,10.6,9.4,23.05
15-03-10,13.6,10.8,10.1,20.64
15-03-11,13.1,10,8.2,20.99
15-03-12,11.8,9.6,9,20.73
15-03-13,10.4,9.7,9.6,19.2
15-03-14,10.5,9.2,9.3,18.86
15-03-15,11.2,9.7,8.7,19.68
15-03-16,10.8,7.7,5.3,19.05
15-03-17,10.4,8,8.1,17.57
15-03-18,11.7,9,6.4,14.66
15-03-19,11.1,9.7,10.3,19.5
15-03-20,13.2,11.6,11.1,22.47
15-03-21,11.1,8.6,5.7,18.55
15-03-22,8.8,8.3,7.4,16.79
15-03-23,6.8,7.1,7.4,16.55
15-03-24,8.1,8.9,10.4,21.11
15-03-25,9.1,8.7,8.9,18.36
15-03-26,9.1,9.1,12.4,16.96
15-03-27,9.6,9.8,10.6,18.78
15-03-28,10.8,9.8,9.3,19.74
15-03-29,9.6,8.7,8.2,18.74
15-03-30,9.2,8,8.4,17.08
15-03-31,8.4,8.2,8.2,17.57
15-04-01,9.2,8.1,8,18.24
15-04-02,8.7,6.5,5.9,17.08
15-04-03,7.5,6.6,7.7,16.59
15-04-04,7.9,7.4,7.2,17.4
15-04-05,10.1,8.6,8,18.3
15-04-06,8,6.8,7.6,15.08
15-04-07,6.2,6.3,6.9,16.02
15-04-08,7.1,6.9,7.4,16.75
15-04-09,7.9,8.1,8.2,17.91
15-04-10,9.2,9.5,9.6,20.4
15-04-11,7.8,6.4,5.6,17.29
15-04-12,7.8,5.6,5,15.89
15-04-13,7.8,7.4,8,15.94
15-04-14,6,7.8,8.2,16.37
15-04-15,3.6,3.4,3.2,13.89
15-04-16,5.2,4.5,4.5,14.52
15-04-17,4.8,4.9,4.7,14.14
15-04-18,6.3,4.2,3.6,14.38
15-04-19,1.5,2,2.1,12.13
15-04-20,2.9,4.1,4.2,12.05
15-04-21,4.4,3.1,3.2,13.12
15-04-22,6.5,4.8,4.6,14.58
15-04-23,7,6,5.3,15.74
15-04-24,7.4,4.4,4,14.76
15-04-25,3.5,3.5,3.9,12.52
15-04-26,3.8,5.8,6,13.3
15-04-27,5.6,4.7,4.1,14.03
15-04-28,6.4,4.7,4.6,14.5
15-04-29,6.4,5.9,6.5,15.71
15-04-30,6.7,6.3,6.2,16.16
15-05-01,3.4,2.7,2.9,13.34
15-05-02,2.9,3.1,2.1,11.92
15-05-03,1.9,2.8,1.3,12.03
15-05-04,2.7,2.1,1.9,12.15
15-05-05,3.2,2,1.7,12.27
15-05-06,4.8,3.2,2.8,13.89
15-05-07,4,4.2,2.4,12.76
15-05-08,0,1.3,2,9.15
15-05-09,1.8,2.6,3.7,11.65
15-05-10,3.8,4.5,4.4,13.05
15-05-11,3.2,3.5,3.8,13.3
15-05-12,1.5,1.9,2.9,10.56
15-05-13,2.4,2.5,3,12.89
15-05-14,2.6,1.6,2.5,12.66
15-05-15,3.7,3.5,3.8,15
15-05-16,3.4,2.5,1.9,11.58
15-05-17,2.6,0.2,3.1,10.3
15-05-18,4.8,4.5,5.6,12.27
15-05-19,8.8,4.5,2.1,13.01
15-05-20,1.7,2.3,3.1,12.16
15-05-21,1.4,1.8,2,10.7
15-05-22,0,0.1,1.8,10.28
15-05-23,0,0.1,0,10.03
15-05-24,0,0,0,8.22
15-05-25,0,0,0,6.61
15-05-26,0,0,0,7.25
