Time_UTC_Chile,Los_Tilos,San_Antonio_de_Naltahua,San_Pedro_de_Melipilla,Carmen_Rosa
01/01/15,5.67,6.13,5.41,#N/A
01/02/15,5.3,6.36,5.23,#N/A
01/03/15,5.31,6.07,4.7,#N/A
01/04/15,5.35,5.65,4.52,#N/A
01/05/15,5.22,5.41,4.23,5.41
01/06/15,4.77,5.16,4.45,4.95
01/07/15,4.57,4.9,3.52,5.02
01/08/15,5.6,6.18,5.8,5.77
01/09/15,5.5,6.97,5.66,4.23
01/10/15,5.31,5.75,4.64,#N/A
01/11/15,5.4,6.26,5.04,#N/A
01/12/15,4.86,5.54,4.69,#N/A
01/13/15,5.02,5.64,4.59,#N/A
01/14/15,5.26,5.97,4.91,#N/A
01/15/15,5.01,5.22,4.3,#N/A
01/16/15,5.14,4.98,4.18,#N/A
01/17/15,4.89,4.48,2.62,#N/A
01/18/15,4.03,2.31,1.67,#N/A
01/19/15,2.95,2.92,2.44,#N/A
01/20/15,4.17,4.5,2.86,#N/A
01/21/15,4.22,4.26,3.07,#N/A
01/22/15,4.88,4.97,4.2,#N/A
01/23/15,5.05,5.37,4.68,#N/A
01/24/15,4.96,5.45,4.63,#N/A
01/25/15,4.97,5.48,4.68,#N/A
01/26/15,5.01,5.96,5.32,#N/A
01/27/15,4.92,5.73,5.08,#N/A
01/28/15,4.89,5.77,4.81,#N/A
01/29/15,4.78,5.28,4.3,#N/A
01/30/15,4.87,4.93,4.19,#N/A
01/31/15,5,5.6,4.52,#N/A
02/01/15,4.88,5.44,4.44,#N/A
02/02/15,4.86,5.28,4.39,#N/A
02/03/15,4.73,5.11,4.34,#N/A
02/04/15,4.77,5.44,4.47,#N/A
02/05/15,4.6,4.73,4.17,#N/A
02/06/15,4.17,4.92,4.17,#N/A
02/07/15,4.54,4.97,4.17,#N/A
02/08/15,4.27,4.99,4.09,#N/A
02/09/15,2.62,2.98,3.35,#N/A
02/10/15,4.49,5.44,4.77,#N/A
02/11/15,4.63,5.69,4.46,#N/A
02/12/15,5.24,5.82,5.48,#N/A
02/13/15,4.94,5.85,5.01,#N/A
02/14/15,4.44,4.72,3.88,#N/A
02/15/15,4.29,4.64,3.97,#N/A
02/16/15,4.33,4.29,3.87,#N/A
02/17/15,4.29,4.91,4.09,#N/A
02/18/15,4.18,5.13,4.63,#N/A
02/19/15,3.94,4.42,3.72,#N/A
02/20/15,2.31,2.89,2.77,#N/A
02/21/15,4.07,4.61,3.57,#N/A
02/22/15,4.1,4.6,3.83,#N/A
02/23/15,#N/A,4.32,3.4,#N/A
02/24/15,1.85,1.53,1.37,#N/A
02/25/15,3.86,4.52,3.86,#N/A
02/26/15,3.28,3.44,2.55,#N/A
02/27/15,3.75,4.43,4.03,#N/A
02/28/15,3.45,4.09,3.16,#N/A
