Time_UTC_Chile,Los_Tilos,San_Antonio_de_Naltahua,San_Pedro_de_Melipilla,Carmen_Rosa
01/01/15,21,19.8,19,#N/A
01/02/15,21.2,19.7,17.8,#N/A
01/03/15,21.6,18.6,16.8,#N/A
01/04/15,22.2,18.8,17.4,#N/A
01/05/15,21.6,20,19,18.1
01/06/15,20.6,18.8,19.8,18.6
01/07/15,19.5,19.2,17.8,18.8
01/08/15,22.6,21.6,21.2,22.5
01/09/15,23.8,22.5,21.5,22.5
01/10/15,21.8,19.2,17.8,#N/A
01/11/15,22.9,20.2,18.6,#N/A
01/12/15,20.5,17.8,16.4,#N/A
01/13/15,20.4,18.5,17.6,#N/A
01/14/15,21.9,19.9,18.2,#N/A
01/15/15,21.2,19.2,18.4,#N/A
01/16/15,21.8,18.8,18.6,#N/A
01/17/15,19.8,18,17.4,#N/A
01/18/15,17.9,17.2,17.8,#N/A
01/19/15,19.4,19.1,19.8,#N/A
01/20/15,20,19.8,19.2,#N/A
01/21/15,20.2,18.4,17.8,#N/A
01/22/15,21.4,19.6,18.8,#N/A
01/23/15,21.2,18.6,17.1,#N/A
01/24/15,21.8,19.2,18.4,#N/A
01/25/15,22.2,19.3,18.2,#N/A
01/26/15,22.8,22.8,21.7,#N/A
01/27/15,22.6,20.8,21.5,#N/A
01/28/15,22.1,20.2,18.5,#N/A
01/29/15,21.8,18.8,16.8,#N/A
01/30/15,21.4,18.5,17.6,#N/A
01/31/15,22.2,19.6,17.7,#N/A
02/01/15,22.2,19.2,17,#N/A
02/02/15,22.6,19.1,17,#N/A
02/03/15,21.5,18.4,17.8,#N/A
02/04/15,21.5,18.3,18.2,#N/A
02/05/15,20.2,16.6,16.1,#N/A
02/06/15,21.8,18.9,16.8,#N/A
02/07/15,21,18.4,16.6,#N/A
02/08/15,21.2,20.2,20,#N/A
02/09/15,17.3,17.6,18.2,#N/A
02/10/15,21.2,20.2,19.8,#N/A
02/11/15,23,21.5,19.4,#N/A
02/12/15,24,23.2,23.1,#N/A
02/13/15,24.4,22.6,21.3,#N/A
02/14/15,21.2,17.6,15,#N/A
02/15/15,20.8,17.8,16.1,#N/A
02/16/15,20.8,18.6,17.7,#N/A
02/17/15,21.3,18.8,18.2,#N/A
02/18/15,18.8,17.6,17.8,#N/A
02/19/15,17,15.4,14.2,#N/A
02/20/15,17.2,17.8,18.2,#N/A
02/21/15,19,18.4,17.5,#N/A
02/22/15,20.4,18.4,16.4,#N/A
02/23/15,20.6,17.7,15.8,#N/A
02/24/15,16.2,15.8,16.4,#N/A
02/25/15,21.2,20.4,20,#N/A
02/26/15,18.4,19.2,16.6,#N/A
02/27/15,19.2,20.2,18.8,#N/A
02/28/15,18.8,18.5,18.1,#N/A
03/01/15,20,19.4,19.1,#N/A
03/02/15,19.1,17.6,16.8,#N/A
03/03/15,19.5,18.8,17.7,#N/A
03/04/15,20.4,18.8,18.4,#N/A
03/05/15,20.2,18.8,18.2,#N/A
03/06/15,19.2,16.2,13.8,#N/A
03/07/15,19.8,19.2,21.2,#N/A
03/08/15,21.5,19.8,20.5,#N/A
03/09/15,23,20.6,19.4,#N/A
03/10/15,23.6,20.8,20.1,#N/A
03/11/15,23.2,20,18.2,#N/A
03/12/15,21.8,19.6,19,#N/A
03/13/15,20.4,19.8,19.6,#N/A
03/14/15,20.6,19.2,19.3,#N/A
03/15/15,21.2,19.7,18.7,#N/A
03/16/15,20.8,17.7,15.4,#N/A
03/17/15,20.4,18,18.1,#N/A
03/18/15,21.7,19,16.4,#N/A
03/19/15,21.1,19.7,20.3,#N/A
03/20/15,23.2,21.6,21.1,#N/A
03/21/15,21,18.6,15.7,#N/A
03/22/15,18.8,18.3,17.4,#N/A
03/23/15,16.8,17.1,17.4,#N/A
03/24/15,18.1,19,20.4,#N/A
03/25/15,19,18.7,18.8,#N/A
03/26/15,19.1,19.1,22.4,16.9604166666667
03/27/15,19.6,19.8,20.6,18.7770833333333
03/28/15,20.8,19.8,19.2,19.7416666666667
03/29/15,19.6,18.7,18.2,18.7354166666667
03/30/15,19.2,18,18.4,17.0791666666667
03/31/15,18.4,18.2,18.2,17.5729166666667
04/01/15,19.2,18.1,18,18.2395833333333
04/02/15,18.7,16.6,15.9,17.0791666666667
04/03/15,17.4,16.6,17.7,16.59375
04/04/15,17.9,17.4,17.2,17.4041666666667
04/05/15,20,18.6,18,18.3041666666667
04/06/15,18,16.8,17.6,15.08125
04/07/15,16.2,16.4,16.9,16.0166666666667
04/08/15,17.1,16.9,17.4,16.7479166666667
04/09/15,17.8,18.1,18.2,17.9125
04/10/15,19.2,19.5,19.6,20.4020833333333
04/11/15,17.8,16.4,15.6,17.2875
