Time_UTC_Chile,Los_Tilos,San_Antonio_de_Naltahua,San_Pedro_de_Melipilla,Carmen_Rosa
01/01/15,11,9.7,9,#N/A
01/02/15,11.3,9.7,7.8,#N/A
01/03/15,11.6,8.5,6.8,#N/A
01/04/15,12.3,8.8,7.4,#N/A
01/05/15,11.6,10,9,18.1
01/06/15,10.5,8.9,9.9,18.56
01/07/15,9.5,9.1,7.9,18.81
01/08/15,12.6,11.7,11.1,22.51
01/09/15,13.8,12.5,11.5,22.49
01/10/15,11.9,9.2,7.8,#N/A
01/11/15,12.9,10.3,8.6,#N/A
01/12/15,10.5,7.8,6.5,#N/A
01/13/15,10.4,8.5,7.6,#N/A
01/14/15,11.9,9.9,8.2,#N/A
01/15/15,11.2,9.2,8.4,#N/A
01/16/15,11.8,8.8,8.6,#N/A
01/17/15,9.8,8,7.4,#N/A
01/18/15,7.9,7.2,7.9,#N/A
01/19/15,9.4,9.1,9.8,#N/A
01/20/15,10,9.8,9.1,#N/A
01/21/15,10.3,8.4,7.9,#N/A
01/22/15,11.4,9.6,8.8,#N/A
01/23/15,11.2,8.7,7.1,#N/A
01/24/15,11.8,9.2,8.4,#N/A
01/25/15,12.3,9.3,8.2,#N/A
01/26/15,12.8,12.7,11.7,#N/A
01/27/15,12.6,10.9,11.5,#N/A
01/28/15,12.1,10.2,8.5,#N/A
01/29/15,11.7,8.8,6.8,#N/A
01/30/15,11.4,8.4,7.7,#N/A
01/31/15,12.2,9.6,7.7,#N/A
02/01/15,12.2,9.2,7.1,#N/A
02/02/15,12.6,9.1,6.9,#N/A
02/03/15,11.5,8.4,7.8,#N/A
02/04/15,11.5,8.3,8.2,#N/A
02/05/15,10.2,6.7,6.1,#N/A
02/06/15,11.8,8.9,6.8,#N/A
02/07/15,11,8.4,6.6,#N/A
02/08/15,11.2,10.2,10,#N/A
02/09/15,7.3,7.5,8.3,#N/A
02/10/15,11.2,10.2,9.8,#N/A
02/11/15,13,11.6,9.5,#N/A
02/12/15,13.9,13.3,13.1,#N/A
02/13/15,14.4,12.6,11.3,#N/A
02/14/15,11.2,7.6,5.1,#N/A
02/15/15,10.7,7.7,6.1,#N/A
02/16/15,10.8,8.6,7.7,#N/A
02/17/15,11.3,8.7,8.2,#N/A
02/18/15,8.8,7.7,7.7,#N/A
02/19/15,6.9,5.4,4.2,#N/A
02/20/15,7.2,7.8,8.1,#N/A
02/21/15,8.9,8.4,7.5,#N/A
02/22/15,10.4,8.4,6.4,#N/A
02/23/15,10.5,7.7,5.8,#N/A
02/24/15,6.3,5.8,6.4,#N/A
02/25/15,11.3,10.5,10,#N/A
02/26/15,8.3,9.2,6.6,#N/A
02/27/15,9.2,10.3,8.8,#N/A
02/28/15,8.8,8.5,8.1,#N/A
03/01/15,10,9.4,9.1,#N/A
03/02/15,9.1,7.6,6.8,#N/A
03/03/15,9.6,8.7,7.7,#N/A
03/04/15,10.4,8.8,8.4,#N/A
03/05/15,10.1,8.8,8.3,#N/A
03/06/15,9.2,6.2,3.9,#N/A
03/07/15,9.7,9.3,11.2,#N/A
03/08/15,11.5,9.8,10.5,#N/A
03/09/15,13,10.6,9.4,#N/A
03/10/15,13.6,10.8,10.1,#N/A
03/11/15,13.1,10,8.2,#N/A
03/12/15,11.8,9.6,9,#N/A
03/13/15,10.4,9.7,9.6,#N/A
03/14/15,10.5,9.2,9.3,#N/A
03/15/15,11.2,9.7,8.7,#N/A
03/16/15,10.8,7.7,5.3,#N/A
03/17/15,10.4,8,8.1,#N/A
03/18/15,11.7,9,6.4,#N/A
03/19/15,11.1,9.7,10.3,#N/A
03/20/15,13.2,11.6,11.1,#N/A
03/21/15,11.1,8.6,5.7,#N/A
03/22/15,8.8,8.3,7.4,#N/A
03/23/15,6.8,7.1,7.4,#N/A
03/24/15,8.1,8.9,10.4,#N/A
03/25/15,9.1,8.7,8.9,#N/A
03/26/15,9.1,9.1,12.4,16.96
03/27/15,9.6,9.8,10.6,18.78
03/28/15,10.8,9.8,9.3,19.74
03/29/15,9.6,8.7,8.2,18.74
03/30/15,9.2,8,8.4,17.08
03/31/15,8.4,8.2,8.2,17.57
04/01/15,9.2,8.1,8,18.24
04/02/15,8.7,6.5,5.9,17.08
04/03/15,7.5,6.6,7.7,16.59
04/04/15,7.9,7.4,7.2,17.4
04/05/15,10.1,8.6,8,18.3
04/06/15,8,6.8,7.6,15.08
04/07/15,6.2,6.3,6.9,16.02
04/08/15,7.1,6.9,7.4,16.75
04/09/15,7.9,8.1,8.2,17.91
04/10/15,9.2,9.5,9.6,20.4
04/11/15,7.8,6.4,5.6,17.29
04/12/15,7.8,5.6,5,15.89
04/13/15,7.8,7.4,8,15.94
04/14/15,6,7.8,8.2,16.37
04/15/15,3.6,3.4,3.2,13.89
04/16/15,5.2,4.5,4.5,14.52
04/17/15,4.8,4.9,4.7,14.14
04/18/15,6.3,4.2,3.6,14.38
04/19/15,1.5,2,2.1,12.13
04/20/15,2.9,4.1,4.2,12.05
04/21/15,4.4,3.1,3.2,13.12
04/22/15,6.5,4.8,4.6,14.58
04/23/15,7,6,5.3,15.74
04/24/15,7.4,4.4,4,14.76
04/25/15,3.5,3.5,3.9,12.52
04/26/15,3.8,5.8,6,13.3
04/27/15,5.6,4.7,4.1,14.03
04/28/15,6.4,4.7,4.6,14.5
04/29/15,6.4,5.9,6.5,15.71
04/30/15,6.7,6.3,6.2,16.16
