Time_UTC_Chile,Los_Tilos,San_Antonio_de_Naltahua,San_Pedro_de_Melipilla,Talagante_Talagante
01/16/19,4.66,5.2,4.99,
01/17/19,4.86,5.16,4.94,5.2
01/18/19,4.86,5.39,5.02,5.6
01/19/19,4.79,4.62,4.24,5.1
01/20/19,4.52,4.34,3.76,4.8
01/21/19,5.06,5.39,4.99,5.4
01/22/19,4.73,4.91,4.56,5.6
01/23/19,4.87,4.92,4.51,5.3
01/24/19,4.78,5.11,3.89,5.4
01/25/19,4.6,4.93,4.58,5.1
01/26/19,5.48,5.74,5.73,5.9
01/27/19,5.02,5.34,4.56,5.6
01/28/19,4.8,5.38,4.83,5.4
01/29/19,4.3,4.63,4.02,5
01/30/19,4.28,5.02,4.45,5
01/31/19,4.33,5.5,4.99,5.5
02/01/19,4.3,5.25,4.41,5.3
02/02/19,4.53,4.76,4.13,5.1
02/03/19,4.58,4.7,4.01,5.1
02/04/19,4.74,4.41,3.47,5
02/05/19,4.83,4.27,3.33,4.9
02/06/19,4.64,4.42,3.26,4.7
02/07/19,4.3,4.3,3.73,4.7
02/08/19,4.63,4.64,4.27,5
02/09/19,4.45,4.69,4.17,4.9
02/10/19,3.62,4.6,3.96,4.5
02/11/19,2.47,2.74,3.6,3.3
02/12/19,4.03,4.21,4.02,4.2
02/13/19,4.42,4.6,4.35,4.5
02/14/19,4.53,5.05,4.88,5.1
02/15/19,4.31,4.19,3.2,4.4
02/16/19,2.85,3.04,2.57,2.7
02/17/19,4.1,4.45,3.94,4.3
02/18/19,4.11,3.8,3.16,4.2
02/19/19,4.26,4.26,3.8,4.3
02/20/19,4.07,4.09,3.13,4.1
02/21/19,3.12,3.14,2.37,3.2
02/22/19,4.12,4.35,4.3,4.3
02/23/19,4.8,4.57,4.92,4.4
02/24/19,4.24,4.58,4.42,4.5
02/25/19,3.88,4.45,4,4.3
02/26/19,3.8,4.45,3.8,4.6
02/27/19,3.78,4.47,3.69,4.7
02/28/19,3.63,3.61,3.23,4
03/01/19,3.84,4.16,3.56,4.5
03/02/19,3.66,3.99,3.37,4.2
03/03/19,3.36,3.63,2.93,3.9
03/04/19,3.55,4.02,3.95,4.1
03/05/19,4.19,4.1,4.05,4.1
03/06/19,3.74,4.3,4.19,4.2
03/07/19,3.42,4.17,3.97,4.3
03/08/19,3.18,3.41,3.28,3.6
03/09/19,3.15,3.59,3.14,3.7
03/10/19,3.27,3.73,3.68,3.6
03/11/19,3.23,3.71,3.35,3.8
03/12/19,3.41,4.12,3.55,4.3
03/13/19,2.8,3.07,2.64,3.2
03/14/19,3.2,3.61,2.9,3.7
03/15/19,3.05,3.69,2.95,3.6
03/16/19,2.77,3.25,2.97,3.4
03/17/19,2.99,3.19,3.11,3.5
03/18/19,3.24,3.36,3.53,3.3
03/19/19,5.09,3.12,3.81,4
03/20/19,2.81,3.25,2.96,3.6
03/21/19,3.17,3.47,3.4,
03/22/19,3.14,3.56,3.28,
03/23/19,3.67,3.35,3.49,
03/24/19,2.96,3.4,2.94,
03/25/19,2.69,2.89,2.32,3.3
03/26/19,2.51,2.68,2.27,3.3
03/27/19,2.51,2.21,1.34,2.7
03/28/19,2.54,2.58,2.07,2.8
03/29/19,2.27,2.38,2.15,2.5
03/30/19,1.26,1.12,1.09,1.4
03/31/19,2.21,2.52,1.66,2.5
04/01/19,2.58,2.68,2.76,3.1
04/02/19,2.38,2.85,2.43,3.2
04/03/19,2.12,1.4,0.94,1.8
04/04/19,2.13,2.16,2.38,2.4
04/05/19,2.47,2.81,2.6,3
04/06/19,2.47,2.69,2.65,2.9
04/07/19,2.3,3.16,2.69,3.6
04/08/19,2.04,2.21,1.87,2.8
04/09/19,1.14,1,0.83,0.9
04/10/19,2.4,2.24,2.4,2.7
04/11/19,2.03,2.17,1.45,2.6
04/12/19,1.05,0.82,0.7,0.9
04/13/19,0.68,0.72,1,0.7
04/14/19,1.58,1.41,1.68,1.7
04/15/19,2.14,2.2,2.42,2.7
04/16/19,1.98,2.33,2.17,2.9
04/17/19,1.9,2.21,2.07,2.9
04/18/19,1.2,1.27,1.19,1.5
04/19/19,0.92,0.84,0.74,1
04/20/19,1.17,1.28,1.42,1.3
04/21/19,1.41,1.86,1.61,1.9
04/22/19,1.49,1.56,1.46,1.8
04/23/19,1.07,1.19,0.69,1.2
04/24/19,0.77,0.78,0.77,0.8
04/25/19,1.27,1.51,1.45,1.5
04/26/19,1.39,1.68,1.56,2
04/27/19,1.45,1.72,1.62,2
04/28/19,1.87,1.69,1.78,2
04/29/19,2.87,1.51,1.98,2.2
04/30/19,1.85,1.59,1.78,1.9
05/01/19,2.12,1.37,1.91,2.2
05/02/19,0.97,1.06,1.33,1.8
05/03/19,0.96,1.41,1.13,1.8
05/04/19,1.34,1.12,0.87,1.5
05/05/19,1.17,1.05,1.25,1.2
05/06/19,1.05,1.24,1.12,1.5
05/07/19,1.16,1.05,0.65,1.4
05/08/19,0.6,0.57,0.61,0.5
05/09/19,0.89,1.2,1.3,1.3
05/10/19,1.36,1.11,1.25,1.4
05/11/19,1.13,1.24,1.29,1.6
05/12/19,1.47,1.22,1.33,1.7
05/13/19,1.38,1.5,1.32,2.2
