Time_UTC_Chile,Talagante_Talagante
01/16/19,20.4
01/17/19,19.5
01/18/19,21.2
01/19/19,19.6
01/20/19,19.8
01/21/19,21.5
01/22/19,21.2
01/23/19,19.6
01/24/19,20.6
01/25/19,22.2
01/26/19,25
01/27/19,22.2
01/28/19,21.8
01/29/19,18.8
01/30/19,21.1
01/31/19,22.8
02/01/19,21.8
02/02/19,21.3
02/03/19,21.6
02/04/19,21
02/05/19,20.5
02/06/19,20.6
02/07/19,21.4
02/08/19,21.4
02/09/19,21.2
02/10/19,20
02/11/19,19.6
02/12/19,19.3
02/13/19,19.2
02/14/19,21.8
02/15/19,19.8
02/16/19,19.5
02/17/19,20.5
02/18/19,20
02/19/19,22
02/20/19,19.4
02/21/19,19.8
02/22/19,21.4
02/23/19,21.8
02/24/19,20.3
02/25/19,19.2
02/26/19,19.5
02/27/19,19.6
02/28/19,17.6
03/01/19,19.8
03/02/19,19.4
03/03/19,18.3
03/04/19,19.3
03/05/19,19.7
03/06/19,19.6
03/07/19,18.4
03/08/19,17.5
03/09/19,18.7
03/10/19,18.5
03/11/19,18.4
03/12/19,20.4
03/13/19,17.9
03/14/19,18.4
03/15/19,17.4
03/16/19,16.4
03/17/19,18.2
03/18/19,17.4
03/19/19,16.6
03/20/19,16.2
03/21/19,16.1
03/22/19,19.1
03/23/19,16.3
03/24/19,13.9
03/25/19,16.7
03/26/19,16.2
03/27/19,15.8
03/28/19,17.4
03/29/19,16
03/30/19,13
03/31/19,16.2
04/01/19,17.8
04/02/19,18.4
04/03/19,13.6
04/04/19,18.2
04/05/19,18.8
04/06/19,19.3
04/07/19,20.1
04/08/19,16.3
04/09/19,12.2
04/10/19,17.5
04/11/19,14.2
04/12/19,10.7
04/13/19,10
04/14/19,12.4
04/15/19,16.6
04/16/19,17
04/17/19,16.8
04/18/19,12
04/19/19,12.7
04/20/19,14.4
04/21/19,12.2
04/22/19,12.5
04/23/19,12.4
04/24/19,11.7
04/25/19,14
04/26/19,13.7
04/27/19,14.6
04/28/19,15.7
04/29/19,17.8
04/30/19,13.6
05/01/19,14.1
05/02/19,16.6
05/03/19,16.8
05/04/19,15.1
05/05/19,14.2
05/06/19,15.6
05/07/19,13.6
05/08/19,9.4
05/09/19,11.9
05/10/19,10.6
05/11/19,10
05/12/19,12
05/13/19,15
05/14/19,14.2
05/15/19,11
05/16/19,9.8
05/17/19,10.7
05/18/19,12.4
05/19/19,7.8
05/20/19,7.8
05/21/19,7
05/22/19,8.5
05/23/19,10.2
05/24/19,10.2
05/25/19,11
05/26/19,9.9
05/27/19,9.4
05/28/19,10.4
05/29/19,14.3
05/30/19,11.5
05/31/19,11
06/01/19,8.3
06/02/19,11.6
06/03/19,11.1
06/04/19,12.5
06/05/19,11.6
06/06/19,11.2
06/07/19,9.8
06/08/19,10.1
06/09/19,10.6
06/10/19,11.3
06/11/19,9.5
06/12/19,8.4
06/13/19,7
06/14/19,6.1
06/15/19,9.5
06/16/19,7.7
06/17/19,6.1
06/18/19,8.2
06/19/19,9.6
06/20/19,10.4
06/21/19,9.8
06/22/19,10.4
06/23/19,9.4
06/24/19,5.4
06/25/19,5.2
06/26/19,6.6
06/27/19,7.2
06/28/19,7
06/29/19,7.4
06/30/19,8.5
07/01/19,7.4
07/02/19,7.3
07/03/19,8.3
07/04/19,8.2
07/05/19,11.1
07/06/19,8.4
07/07/19,9.2
07/08/19,10.4
07/09/19,10.2
07/10/19,7.6
07/11/19,9.2
07/12/19,8.2
07/13/19,7.6
07/14/19,8.2
07/15/19,10.4
07/16/19,9.8
07/17/19,7.6
07/18/19,11.5
07/19/19,8.6
07/20/19,10.5
07/21/19,3.8
07/22/19,4.4
07/23/19,5.4
07/24/19,6.7
07/25/19,7.7
07/26/19,9.8
07/27/19,9.2
07/28/19,9
07/29/19,14.2
07/30/19,15.8
07/31/19,10.4
08/01/19,9.2
08/02/19,9.7
08/03/19,12.2
08/04/19,13.8
08/05/19,8.4
08/06/19,9.9
08/07/19,8.4
08/08/19,5.8
08/09/19,6.6
08/10/19,8.2
08/11/19,7.8
08/12/19,10.2
08/13/19,12.2
08/14/19,13.7
08/15/19,8.2
08/16/19,9
08/17/19,8.8
08/18/19,9.8
08/19/19,9.6
08/20/19,17.4
08/21/19,10.1
08/22/19,16.3
08/23/19,16.1
08/24/19,16.2
08/25/19,15.3
08/26/19,15.3
08/27/19,16.2
08/28/19,17.4
08/29/19,13.2
08/30/19,12.7
08/31/19,11.5
09/01/19,12
09/02/19,11.1
09/03/19,11.6
09/04/19,13.5
09/05/19,13
09/06/19,12.2
09/07/19,12
09/08/19,10.6
09/09/19,10.2
09/10/19,10.6
09/11/19,12
09/12/19,14.4
09/13/19,13.2
09/14/19,12.7
09/15/19,12.4
09/16/19,12.5
09/17/19,11.6
09/18/19,11.6
09/19/19,10.7
09/20/19,13.1
09/21/19,14
09/22/19,14.4
09/23/19,14.6
09/24/19,14.7
09/25/19,14.4
09/26/19,14
09/27/19,14.3
09/28/19,14.5
09/29/19,12
09/30/19,11
10/01/19,9.9
10/02/19,8.9
10/03/19,9.8
10/04/19,11.2
10/05/19,12.2
10/06/19,15
10/07/19,17
10/08/19,20.2
10/09/19,21.6
10/10/19,18.8
10/11/19,15.8
10/12/19,13.4
10/13/19,17.5
10/14/19,13.6
10/15/19,15
10/16/19,12.9
10/17/19,15.4
10/18/19,15.6
10/19/19,12.4
10/20/19,15.6
10/21/19,16.3
10/22/19,17.9
10/23/19,16.1
10/24/19,16.8
10/25/19,17.4
10/26/19,16.5
10/27/19,15.4
10/28/19,14
10/29/19,12.4
10/30/19,15.6
10/31/19,16.4
11/01/19,15.2
11/02/19,17.8
11/03/19,16.8
11/04/19,14.6
11/05/19,17.7
11/06/19,19
11/07/19,22.2
11/08/19,18.9
11/09/19,21
11/10/19,20.8
11/11/19,17
11/12/19,18.6
11/13/19,20.4
11/14/19,21.7
11/15/19,21.8
11/16/19,22.5
11/17/19,19.4
11/18/19,22.8
11/19/19,22.6
11/20/19,22
11/21/19,19.4
11/22/19,19.4
11/23/19,17.2
11/24/19,17.8
11/25/19,15.6
11/26/19,15.4
11/27/19,18.4
11/28/19,19.2
11/29/19,18.4
11/30/19,20.4
12/01/19,18.5
12/02/19,19.1
12/03/19,20
12/04/19,18.6
12/05/19,20.6
12/06/19,18.7
12/07/19,17.5
12/08/19,17.7
12/09/19,19
12/10/19,18
12/11/19,19.2
12/12/19,22.8
12/13/19,20.3
12/14/19,17.7
12/15/19,18.5
12/16/19,19.8
12/17/19,21
12/18/19,21.7
12/19/19,20.5
12/20/19,20.3
12/21/19,23.1
12/22/19,22.2
12/23/19,24.4
12/24/19,22.1
12/25/19,21
12/26/19,20.6
12/27/19,21.8
12/28/19,22.2
12/29/19,22.9
12/30/19,22.3
12/31/19,21.9
